ticker,volume,sector,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,grossProfits,freeCashflow,currentPrice,earningsGrowth,currentRatio,returnOnAssets,debtToEquity,returnOnEquity,totalCash,totalCashPerShare,revenuePerShare,52WeekChange,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,lastFiscalYearEnd,netIncomeToCommon,trailingEps,lastDividendValue,heldPercentInsiders,nextFiscalYearEnd,floatShares,beta,forwardPE,sharesShortPriorMonth,previousClose,twoHundredDayAverage,fiftyTwoWeekHigh,fiveYearAvgDividendYield,fiftyTwoWeekLow,totalDebt,marketCap,cash to debt
ATRI,6088,Healthcare,Medical Instruments & Supplies,0.29099,0.19117,0.41996,41107000,0.145,0.21541001,52136000,69372000,14027875,627.98,0.066,7.138,0.08885,None,0.14061,50583000,28.322,99.593,-0.15341699,None,137.838,51039,0.0286,1640908800,34251000,18.86,2.15,0.22531,1703980800,1361120,0.263817,None,63735,607,647.4148,805.62,0.9,542.1,0,1129453440,50583000

GUT,87707,Financial Services,Asset Management,0,0.5367,1,None,-0.116,0.44851002,None,8813506,None,6.77,None,1.082,0.0062,None,0.01192,539467,0.007,0.111,-0.16645962,None,3.955,579220,0.007900001,1640908800,276530,0.09,0.05,0.01264,1703980800,None,0.702284,None,611544,6.71,7.4526,8.36,None,6.41,0,496911232,539467

HFBL,4525,Financial Services,Banks�Regional,0,0.23774,0,17059000,-0.004,0.30024,None,20497000,None,19.16,-0.164,None,0.00843,None,0.09275,64078000,21.481,6.306,0.015873075,None,16.044,2278,0.0007,1656547200,4873000,1.41,0.12,0.35606998,1719705600,1558975,0.434045,None,1279,19.65,20.21605,23.55,1.92,17.8,4053000,59551960,60025000

HIO,352500,Financial Services,Asset Management,0,-0.34185,1,None,-0.061,0.87024003,None,36304325,None,3.66,None,1.517,0.038110003,None,-0.024419999,1554387,0.016,0.37,-0.29423076,None,4.933,51705,0.0005,1632960000,-12020657,-0.126,0.03,0,1696032000,None,0.604642,None,22281,3.64,4.2455,5.43,7.43,3.6,0,348063072,1554387

HNNA,4479,Financial Services,Asset Management,0.34285998,0.215,0.49997002,9423000,-0.19,0.33636,10868000,15865000,6578750,8.885,-0.433,17.123,0.05503,45.983,0.08104999,57490000,7.684,4.252,-0.18339413,None,11.491,122779,0.0164,1632960000,6815000,0.9,0.138,0.41084,1696032000,3854898,0.855932,7.1080003,134519,8.98,10.0022,11.69,4.69,8.32,39536000,66887968,17954000

BMRC,38572,Financial Services,Banks�Regional,0,0.28436002,0,45092000,0.208,0.45811,None,116424000,None,32.36,-0.027,None,0.00987,None,0.09635,114975000,7.207,8.195,-0.1625033,None,25.682,271679,0.017,1640908800,36527000,2.28,0.25,0.1027,1703980800,14168272,0.689388,10.644737,249942,31.85,33.35405,39.65,2.21,29.88,24577000,527047328,90398000

BOE,134788,Financial Services,Asset Management,0,0,1,52983168,0.136,0.66200995,None,19634744,13960106,9,None,0.536,0.011,0.013,-0.111140005,108257,0.002,0.332,-0.27310228,None,11.172,56855,0.00090000004,1640908800,-86676880,1.86,0.063,5e-05,1703980800,None,0.889093,None,30986,8.81,10.4823,12.44,7.4,8.52,94288,575725504,13969

